method,seed,step,test_error,reward,backward_frac,loss
PG,2,4000,0.045700013637542725,0.9800000190734863,1.0,-0.0021693597082048655
PG,2,4100,0.04400002956390381,0.9399999976158142,1.0,-0.017262250185012817
PG,2,4200,0.05010002851486206,0.9700000286102295,1.0,0.0008903050911612809
PG,2,4300,0.04909998178482056,0.9599999785423279,1.0,0.010041870176792145
PG,2,4400,0.04519999027252197,0.9700000286102295,1.0,-0.0031833434477448463
PG,2,4500,0.04210001230239868,0.9599999785423279,1.0,-0.012209368869662285
PG,2,4600,0.04689997434616089,0.9599999785423279,1.0,-0.02687354013323784
PG,2,4700,0.047299981117248535,0.9700000286102295,1.0,0.0040106684900820255
PG,2,4800,0.047299981117248535,0.9399999976158142,1.0,-0.028089717030525208
PG,2,4900,0.04110002517700195,0.9399999976158142,1.0,-0.03706217557191849
PG,2,5000,0.048799991607666016,0.949999988079071,1.0,0.010400183498859406
PG,2,5100,0.04240000247955322,0.9700000286102295,1.0,2.5892220946843736e-05
PG,2,5200,0.047500014305114746,0.9700000286102295,1.0,0.0021986798383295536
PG,2,5300,0.04460000991821289,0.9599999785423279,1.0,-0.00997033342719078
PG,2,5400,0.04780000448226929,0.949999988079071,1.0,-0.0049090273678302765
PG,2,5500,0.041400015354156494,0.949999988079071,1.0,-0.012243867851793766
PG,2,5600,0.04439997673034668,0.9700000286102295,1.0,-0.0019239098764955997
PG,2,5700,0.056599974632263184,0.9700000286102295,1.0,0.004271215293556452
PG,2,5800,0.03960001468658447,0.9399999976158142,1.0,-0.005080195609480143
PG,2,5900,0.039900004863739014,0.9900000095367432,1.0,-0.026658235117793083
PG,2,6000,0.04919999837875366,0.9399999976158142,1.0,-0.011554387398064137
PG,2,6100,0.048200011253356934,0.9599999785423279,1.0,-0.004082543775439262
PG,2,6200,0.041499972343444824,0.949999988079071,1.0,-0.01957068219780922
PG,2,6300,0.04280000925064087,0.9800000190734863,1.0,-0.0005339230410754681
PG,2,6400,0.042699992656707764,0.9700000286102295,1.0,-0.008679970167577267
PG,2,6500,0.03750002384185791,0.9900000095367432,1.0,-8.104156563604192e-07
PG,2,6600,0.040400028228759766,0.949999988079071,1.0,-0.015477841719985008
PG,2,6700,0.040499985218048096,0.9100000262260437,1.0,-0.04360949620604515
PG,2,6800,0.040400028228759766,0.9900000095367432,1.0,-0.0008632700191810727
PG,2,6900,0.040499985218048096,0.9700000286102295,1.0,0.0014622577000409365
PG,2,7000,0.03789997100830078,0.9700000286102295,1.0,-0.0018021166324615479
PG,2,7100,0.03949999809265137,0.9800000190734863,1.0,-0.003370884107425809
PG,2,7200,0.042699992656707764,0.9300000071525574,1.0,-0.005488228984177113
PG,2,7300,0.03680002689361572,0.9300000071525574,1.0,0.0048551373183727264
PG,2,7400,0.0396999716758728,0.9800000190734863,1.0,0.006102754268795252
PG,2,7500,0.03799998760223389,0.9700000286102295,1.0,0.005296717863529921
